area_project,line,line_sub,usecase,type,digital_lever
Large Liquid MFG,S Sab E 3&4,shadowing_0,Smart ptu (prior to use),Lighthouse,Digital Ways of Working
Large Liquid MFG,Sprite Mixing Room,OEE top 1,Smart ptu (prior to use),Lighthouse,Advanced Production Method and Material
Large Liquid MFG,Manufactura Bases de bebidas,shadowing_0,Smart ptu (prior to use),Lighthouse,Digital Ways of Working
Large Liquid MFG,Tank #5,shadowing_1,Smart ptu for mix room,Local Idea,Digital Ways of Working
Maintenance,Maintenance,Breakdown Occurence,Smart sensor implementation for dry part and liquid line,Local Idea,Digital Ways of Working
Maintenance,Maintenance,Breakdown Occurence,Smart Sensors for Passenger and Cargo Lifts,Local Idea,Advanced Analytics
Warehouse,Warehouse,Process,SMP - III (Warehouse Space Addition),Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Software for beverage recipes for sensory analysis.,Local Idea,Digital Ways of Working
Maintenance,maintenance manager,dilo,Solar PV with battery(Implement),Local Idea,Other / Analogue
Others / Multiple Areas,Combi L1,OEE top 3,SOP Advisor,Local Idea,Digital Ways of Working
Dry Part (Auto),FFS 3H,OEE top 2,SOP Advisor,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,Bases de bebidas,OEE top 3,Sop advisor (App from Liberia),Local Idea,Digital Ways of Working
Maintenance,Maintenance,Process,Spare parts digital kanban,Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse technician,shadowing_0,Spare parts request,Local Idea,Digital Ways of Working
Maintenance,IT/OT,IT/OT_Process,SPC OEE implementation,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Bases de bebidas,OEE top 3,Speed loss in low weight materials in serac filling room,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Manual Line 2,OEE top 1,Stand alone Hoist,Local Idea,Other / Analogue
Large Liquid MFG,BB Room 10KL tank1,OEE top 1,Stand-alone drum tilter for material transfer,Local Idea,Advanced Production Method and Material
Large Liquid MFG,scheduling,scheduling,Standard Production Capacity,Local Idea,Other / Analogue
Dry Part (Manual),FFS 3H,shadowing_1,Standardize Film Change,Local Idea,Other / Analogue
Maintenance,maintenance manager,dilo,Standardized Engineering Guidelines,Local Idea,Other / Analogue
Maintenance,Maintenance,Process,Standardizing Facility Management,Local Idea,Other / Analogue
Maintenance,Maintenance,Breakdown Occurence,Standby sub- assembly for all fill line discharge assembly to avoid the repetitive failure of cylinder and spring replacement,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Batching,shadowing_2,Supersack hoist queuing system,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_1,Supply FFS 2H,Local Idea,Other / Analogue
Warehouse,warehouse technician,shadowing_0,Synchronize suppliers label and cps label system,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Serac 20L Filler,shadowing_0,System events data collection for analytics,Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse technician,shadowing_0,Tank receiving automated monitoring,Local Idea,Digital Ways of Working
Others / Multiple Areas,IT/OT,IT/OT_System,Test Environment,Local Idea,Other / Analogue
Dry Part (Manual),Filling Dry Part Manufacturing 02,OEE top 1,Tolling the colorant to 3rd party vendor (the 9 kg)--> RAMA chemical,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_0,Tools preparation and tools location,Local Idea,Other / Analogue
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 2,Tpm (total productive maintenance) to reduce unplanned stop,Local Idea,Other / Analogue
Dry Part (Auto),Dry Multi-head Filling Line,OEE top 2,Tpm implementation to reduce unplanned stops,Local Idea,Other / Analogue
Warehouse,scheduling,scheduling,Track and Trace Logistics,Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Root Cause Process,Track wise,Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,KO Batching (BIG),shadowing_0,Training on MII,Local Idea,Digital Ways of Working
Large Liquid MFG,Liquid Processing,shadowing_1,Training through video,Local Idea,Digital Ways of Working
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_2,Transfer the MII setting knowledge to other person so that Agus can do operation,Local Idea,Other / Analogue
Warehouse,warehouse material flow 1,material flow 1,Transportation cost saving for external WH,Local Idea,Other / Analogue
Large Liquid MFG,BB Batching,shadowing_2,Troubleshooting guide,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Truck management system,Local Idea,Digital Ways of Working
Others / Multiple Areas,IT/OT,IT/OT_System,UNS,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,UNS Phase 1,Lighthouse,Digital Management Tools & Connectivity
Others / Multiple Areas,S Sab E 3&4,OEE top 2,Update instrumentation and control elements of the CIP,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Twin Head Serac,OEE top 1,Upgrade twin head palletizer to handle 5l and 10l drums,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_3,Using pallet lid during wrapping-DRY,Local Idea,Other / Analogue
Others / Multiple Areas,IT/OT,IT/OT_System,Utilities migration to UNS,Local Idea,Other / Analogue
Large Liquid MFG,S Sab E 3&4,shadowing_0,Vaccum pump for gums addition,Local Idea,Other / Analogue
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_3,Vacuum and auto sealer,Local Idea,Advanced Production Method and Material
Maintenance,DP Manual,shadowing_1,Vacuum lifter on mto box line,Local Idea,Other / Analogue
Dry Part (Manual),Dry mix Multiple WIP line,shadowing_1,VFFS for PE Bags Formation (WIPs),Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Room 10KL tank1,shadowing_2,Viscous Media Transfer Pumps For Oil Blend Preparation,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Qoo,shadowing_0,Visual real-time pump vibration data monitoring,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance PM technician,shadowing_0,Visualize spare parts warehouse management system with barcode application,Local Idea,Digital Management Tools & Connectivity
Maintenance,Warehouse,Process,VNA Machines Backup,Local Idea,Other / Analogue
Warehouse,warehouse manager,dilo,Warehouse  Digital Performance Management dash board,Lighthouse,Digital Management Tools & Connectivity
Warehouse,Warehouse,Process,Warehouse dpm,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Warehouse Management System,Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow 1,material flow 1,Warehouse receipt productivity performance tracker,Lighthouse,Digital Management Tools & Connectivity
Warehouse,Warehouse,Process,Warehouse Receipt Productivity Performance Tracker (Warehouse DPM),Lighthouse,Digital Management Tools & Connectivity
Maintenance,Warehouse,Process,Warehouse Receiving Buffer Zone Space,Local Idea,Other / Analogue
Warehouse,warehouse manager,dilo,Warehouse rough cut capacity,Local Idea,Digital Ways of Working
Warehouse,warehouse technician,shadowing_0,Warehouse upgrading project (automatic) - phase 1,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_0,Warehouse upgrading project (automatic) - phase 2,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Warehouse-Plant rough cut capacity,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Water treated parameters remote measurement,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance technician,dilo,Web portal for external maintenance providers,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Rotary Serac,OEE top 1,Weekly single sourcing of 20l jerry cans to reduce changeover perf loss,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Sprite Mixing Room,OEE top 3,Weight alarm system,Local Idea,Digital Ways of Working
Liquid Filling (Auto),CC Drums Liquid Filling,OEE top 1,Weight feedback systems 55 un,Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow 1,material flow 1,WH extension for flammable and ambient storage,Local Idea,Other / Analogue
Warehouse,warehouse manager,dilo,Wh storage capacity increase project,Local Idea,Other / Analogue
Dry Part (Manual),NEW DRY ROOM,shadowing_0,Wider mesh screen,Local Idea,Other / Analogue
Dry Part (Manual),Manual Kitting,OEE top 1,WIP Bin Management,Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),Manual Kitting,OEE top 1,WIP Bin Tracker,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Beverage Base Liquid Filling,OEE top 2,Zero purge initiative,Local Idea,Advanced Production Method and Material
